time_s,T_fault_Nm,T_fault_over_T_nom_percent,omega_m_rad_per_s,abs_i_s_peak_A
4.520904180836168157e-03,-5.000857824291749125e+02,-3.824204922305347623e+02,1.231504320207198901e+02,3.106489702718998842e+02
4.560912182436488091e-03,-5.008046717428794636e+02,-3.829702339245911844e+02,1.231504320207198901e+02,3.128540731626672482e+02
4.600920184036808025e-03,-5.014266760941194434e+02,-3.834458867396248252e+02,1.231504320207198901e+02,3.150364410961888666e+02
4.640928185637127959e-03,-5.019521251712874346e+02,-3.838477027915761255e+02,1.231504320207198901e+02,3.171960102014420499e+02
4.680936187237447893e-03,-5.023813681266979643e+02,-3.841759490806372241e+02,1.231504320207198901e+02,3.193327181875453675e+02
4.720944188837767827e-03,-5.027147733979866757e+02,-3.844309073546739910e+02,1.231504320207198901e+02,3.214465043349654252e+02
4.760952190438088628e-03,-5.029527285262378200e+02,-3.846128739701466088e+02,1.231504320207198901e+02,3.235373094871246735e+02
4.800960192038408562e-03,-5.030956399708949789e+02,-3.847221597505694604e+02,1.231504320207198901e+02,3.256050760423798920e+02
4.840968193638728496e-03,-5.031439329215122598e+02,-3.847590898425560795e+02,1.231504320207198901e+02,3.276497479463412787e+02
4.880976195239048430e-03,-5.030980511064051939e+02,-3.847240035694921971e+02,1.231504320207198901e+02,3.296712706845054299e+02
4.920984196839368364e-03,-5.029584565982574418e+02,-3.846172542828813903e+02,1.231504320207198901e+02,3.316695912751774244e+02
4.960992198439688299e-03,-5.027256296167432765e+02,-3.844392092114084107e+02,1.231504320207198901e+02,3.336446582626585950e+02
5.001000200040009100e-03,-5.024000683282235968e+02,-3.841902493077652139e+02,1.231504320207198901e+02,3.355964217106792944e+02
5.041008201640329034e-03,-5.019822886425743604e+02,-3.838707690932831724e+02,1.231504320207198901e+02,3.375248331960552264e+02
5.081016203240648968e-03,-5.014728240072089420e+02,-3.834811765004201902e+02,1.231504320207198901e+02,3.394298458025514833e+02
5.121024204840968902e-03,-5.008722251983504066e+02,-3.830218927131446094e+02,1.231504320207198901e+02,3.413114141149340526e+02
5.161032206441288836e-03,-5.001810601096175901e+02,-3.824933520052647964e+02,1.231504320207198901e+02,3.431694942131961170e+02
5.201040208041608770e-03,-4.993999135379821723e+02,-3.818960015767483469e+02,1.231504320207198901e+02,3.450040436669420956e+02
5.241048209641928704e-03,-4.985293869671592120e+02,-3.812303013880792264e+02,1.231504320207198901e+02,3.468150215299164643e+02
5.281056211242249505e-03,-4.975700983484911148e+02,-3.804967239926967295e+02,1.231504320207198901e+02,3.486023883346651360e+02
5.321064212842569439e-03,-4.965226818793858001e+02,-3.796957543675657689e+02,1.231504320207198901e+02,3.503661060873168935e+02
5.361072214442889373e-03,-4.953877877793706830e+02,-3.788278897419227178e+02,1.231504320207198901e+02,3.521061382624739053e+02
5.401080216043209307e-03,-4.941660820638240921e+02,-3.778936394242457482e+02,1.231504320207198901e+02,3.538224497982014896e+02
5.441088217643529241e-03,-4.928582463154447737e+02,-3.768935246274953670e+02,1.231504320207198901e+02,3.555150070911067246e+02
5.481096219243849176e-03,-4.914649774535223514e+02,-3.758280782926731831e+02,1.231504320207198901e+02,3.571837779914980047e+02
5.521104220844169977e-03,-4.899869875010695068e+02,-3.746978449107456868e+02,1.231504320207198901e+02,3.588287317986163885e+02
5.561112222444489911e-03,-4.884250033498796029e+02,-3.735033803429813588e+02,1.231504320207198901e+02,3.604498392559316926e+02
5.601120224044809845e-03,-4.867797665235692079e+02,-3.722452516397472664e+02,1.231504320207198901e+02,3.620470725464948032e+02
5.641128225645129779e-03,-4.850520329386716298e+02,-3.709240368578146558e+02,1.231504320207198901e+02,3.636204052883413738e+02
5.681136227245449713e-03,-4.832425726638392689e+02,-3.695403248762187900e+02,1.231504320207198901e+02,3.651698125299385538e+02
5.721144228845769647e-03,-4.813521696772215819e+02,-3.680947152107235070e+02,1.231504320207198901e+02,3.666952707456705411e+02
5.761152230446089581e-03,-4.793816216220787965e+02,-3.665878178269364298e+02,1.231504320207198901e+02,3.681967578313563081e+02
5.801160232046410382e-03,-4.773317395606941318e+02,-3.650202529521235988e+02,1.231504320207198901e+02,3.696742530997951235e+02
5.841168233646730316e-03,-4.752033477266472801e+02,-3.633926508857702515e+02,1.231504320207198901e+02,3.711277372763337894e+02
5.881176235247050250e-03,-4.729972832755135528e+02,-3.617056518089382280e+02,1.231504320207198901e+02,3.725571924944534885e+02
5.921184236847370184e-03,-4.707143960340479794e+02,-3.599599055924643949e+02,1.231504320207198901e+02,3.739626022913689667e+02
5.961192238447690118e-03,-4.683555482479205807e+02,-3.581560716040516468e+02,1.231504320207198901e+02,3.753439516036387431e+02
6.001200240048010053e-03,-4.659216143280628444e+02,-3.562948185142971624e+02,1.231504320207198901e+02,3.767012267627814026e+02
6.041208241648330854e-03,-4.634134805956896912e+02,-3.543768241017085643e+02,1.231504320207198901e+02,3.780344154908940482e+02
6.081216243248650788e-03,-4.608320450260584948e+02,-3.524027750567537964e+02,1.231504320207198901e+02,3.793435068962713785e+02
6.121224244848970722e-03,-4.581782169910288758e+02,-3.503733667849940616e+02,1.231504320207198901e+02,3.806284914690207870e+02
6.161232246449290656e-03,-4.554529170004848311e+02,-3.482893032093467127e+02,1.231504320207198901e+02,3.818893610766714914e+02
6.201240248049610590e-03,-4.526570764426810456e+02,-3.461512965715259043e+02,1.231504320207198901e+02,3.831261089597745126e+02
6.241248249649930524e-03,-4.497916373235778451e+02,-3.439600672327088091e+02,1.231504320207198901e+02,3.843387297274916250e+02
6.281256251250251325e-03,-4.468575520052251022e+02,-3.417163434734760585e+02,1.231504320207198901e+02,3.855272193531710627e+02
6.321264252850571259e-03,-4.438557829432574522e+02,-3.394208612930710842e+02,1.231504320207198901e+02,3.866915751699066846e+02
6.361272254450891193e-03,-4.407873024235637445e+02,-3.370743642080289533e+02,1.231504320207198901e+02,3.878317958660796307e+02
6.401280256051211127e-03,-4.376530922981915523e+02,-3.346776030502200001e+02,1.231504320207198901e+02,3.889478814808812785e+02
6.441288257651531061e-03,-4.344541437205492684e+02,-3.322313357643560607e+02,1.231504320207198901e+02,3.900398333998135172e+02
6.481296259251850995e-03,-4.311914568799658696e+02,-3.297363272050061482e+02,1.231504320207198901e+02,3.911076543501667402e+02
6.521304260852170930e-03,-4.278660407356721294e+02,-3.271933489331688065e+02,1.231504320207198901e+02,3.921513483964731677e+02
6.561312262452491731e-03,-4.244789127502606902e+02,-3.246031790124466738e+02,1.231504320207198901e+02,3.931709209359343049e+02
6.601320264052811665e-03,-4.210310986226909336e+02,-3.219666018048725391e+02,1.231504320207198901e+02,3.941663786938208887e+02
6.641328265653131599e-03,-4.175236320208935581e+02,-3.192844077664298084e+02,1.231504320207198901e+02,3.951377297188449234e+02
6.681336267253451533e-03,-4.139575543140405784e+02,-3.165573932423162660e+02,1.231504320207198901e+02,3.960849833785009650e+02
6.721344268853771467e-03,-4.103339143045377568e+02,-3.137863602619963217e+02,1.231504320207198901e+02,3.970081503543783015e+02
6.761352270454091401e-03,-4.066537679597994384e+02,-3.109721163340867065e+02,1.231504320207198901e+02,3.979072426374396514e+02
6.801360272054412202e-03,-4.029181781438686585e+02,-3.081154742411234793e+02,1.231504320207198901e+02,3.987822735232689979e+02
