time_s,T_fault_Nm,T_fault_over_T_nom_percent,T_envelope_Nm,T_envelope_over_T_nom_percent
1.535507101420284237e-01,2.079330370453452530e-03,1.590084284972304290e-03,3.524277571289436556e-02,2.695049551344559299e-02
1.535907181436287350e-01,1.555188196047423404e-03,1.189267634353918931e-03,3.515421854922561734e-02,2.688277498366720489e-02
1.536307261452290740e-01,1.033328080545088852e-03,7.901960965140065931e-04,3.506588390977859182e-02,2.681522462033904611e-02
1.536707341468293853e-01,5.138555912934393609e-04,3.929503998360130233e-04,3.497777123540000976e-02,2.674784399587112546e-02
1.537107421484296965e-01,-3.124769629283842831e-06,-2.389541918054814855e-06,3.488987996834166244e-02,2.668063268374793254e-02
1.537507501500300355e-01,-5.175095834977391481e-04,-3.957446434367552224e-04,3.480220955225661605e-02,2.661359025852552337e-02
1.537907581516303468e-01,-1.029196532692429247e-03,-7.870366614350621758e-04,3.471475943219630433e-02,2.654671629582928960e-02
1.538307661532306581e-01,-1.538084418118587605e-03,-1.176188207974758612e-03,3.462752905460621949e-02,2.648001037235069369e-02
1.538707741548309971e-01,-2.044073176283620064e-03,-1.563122763523722885e-03,3.454051786732299095e-02,2.641347206584498952e-02
1.539107821564313083e-01,-2.547063896034206486e-03,-1.947764689754954157e-03,3.445372531957090201e-02,2.634710095512860645e-02
1.539507901580316196e-01,-3.046958834954129058e-03,-2.330039242086152668e-03,3.436715086195780977e-02,2.628089662007599206e-02
1.539907981596319586e-01,-3.543661435415824956e-03,-2.709872581954498802e-03,3.428079394647236960e-02,2.621485864161750626e-02
1.540308061612322699e-01,-4.037076340283217955e-03,-3.087191788824761567e-03,3.419465402648014241e-02,2.614898660173644446e-02
1.540708141628325811e-01,-4.527109408272385165e-03,-3.461924871935751803e-03,3.410873055672031251e-02,2.608328008346652224e-02
1.541108221644329201e-01,-5.013667728956654884e-03,-3.834000781774866366e-03,3.402302299330215579e-02,2.601773867088918654e-02
1.541508301660332314e-01,-5.496659637422833360e-03,-4.203349421285850276e-03,3.393753079370162573e-02,2.595236194913098579e-02
1.541908381676335427e-01,-5.975994728576457943e-03,-4.569901656808160288e-03,3.385225341675797417e-02,2.588714950436099560e-02
1.542308461692338817e-01,-6.451583871089606147e-03,-4.933589328742993274e-03,3.376719032267003900e-02,2.582210092378798422e-02
1.542708541708341929e-01,-6.923339220993224297e-03,-5.294345261947473909e-03,3.368234097299340618e-02,2.575721579565824412e-02
1.543108621724345042e-01,-7.391174234915447692e-03,-5.652103275858125740e-03,3.359770483063647534e-02,2.569249370925256667e-02
1.543508701740348155e-01,-7.855003682959533703e-03,-6.006798194338752381e-03,3.351328135985711526e-02,2.562793425488370594e-02
1.543908781756351545e-01,-8.314743661223172877e-03,-6.358365855254079733e-03,3.342907002625957608e-02,2.556353702389399518e-02
1.544308861772354657e-01,-8.770311603956139693e-03,-6.706743119766828652e-03,3.334507029679086021e-02,2.549930160865259907e-02
1.544708941788357770e-01,-9.221626295360140987e-03,-7.051867881361173138e-03,3.326128163973748192e-02,2.543522760255300177e-02
1.545109021804361160e-01,-9.668607881024774905e-03,-7.393679074587932408e-03,3.317770352472178275e-02,2.537131460001022104e-02
1.545509101820364273e-01,-1.011117787899878419e-02,-7.732116683530870609e-03,3.309433542269918371e-02,2.530756219645868832e-02
1.545909181836367385e-01,-1.054925919050313764e-02,-8.067121749999080216e-03,3.301117680595430648e-02,2.524396998834929629e-02
1.546309261852370776e-01,-1.098277611027461895e-02,-8.398636381436848375e-03,3.292822714809760104e-02,2.518053757314678981e-02
1.546709341868373888e-01,-1.141165433654888275e-02,-8.726603758557773330e-03,3.284548592406266038e-02,2.511726454932776062e-02
1.547109421884377001e-01,-1.183582098067659932e-02,-9.050968142698345709e-03,3.276295261010201548e-02,2.505415051637739296e-02
1.547509501900380391e-01,-1.225520457637648865e-02,-9.371674882893818795e-03,3.268062668378444308e-02,2.499119507478740621e-02
